GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
blog-api,com.blog.api.service,CommentService,28,207,0,8,0,42,4,15,4,11
blog-api,com.blog.api.service,CategoryService,0,132,0,6,0,26,0,12,0,9
blog-api,com.blog.api.service,AuthService,0,100,0,4,0,20,0,6,0,4
blog-api,com.blog.api.service,CustomUserDetailsService,35,3,0,0,7,1,3,1,3,1
blog-api,com.blog.api.service,UserService,28,41,0,0,6,7,3,5,3,5
blog-api,com.blog.api.service,PostService,36,232,1,9,0,50,6,16,5,12
blog-api,com.blog.api.controller,PostController,76,3,0,0,16,1,8,1,8,1
blog-api,com.blog.api.controller,AuthController,19,3,0,0,4,1,2,1,2,1
blog-api,com.blog.api.controller,CommentController,58,6,0,0,12,3,6,1,6,1
blog-api,com.blog.api.controller,CategoryController,43,3,0,0,10,1,5,1,5,1
blog-api,com.blog.api.controller,UserController,31,3,0,0,8,1,4,1,4,1
blog-api,com.blog.api.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
blog-api,com.blog.api.exception,GlobalExceptionHandler.ErrorResponse,12,21,0,0,3,8,3,4,3,4
blog-api,com.blog.api.exception,ResourceNotFoundException,4,19,0,0,2,2,1,1,1,1
blog-api,com.blog.api.exception,GlobalExceptionHandler,68,17,0,0,20,5,4,2,4,2
blog-api,com.blog.api.exception,GlobalExceptionHandler.ValidationErrorResponse,16,0,0,0,5,0,3,0,3,0
blog-api,com.blog.api.util,JwtUtil,0,103,1,3,0,24,1,11,0,10
